timestamp,motion_raw,motion_state,vibration_raw,vibration_state,status,rawline,motion_mean,motion_std,motion_3mean,motion_3std,motion_median,motion_domfreq,vibration_mean,vibration_std,vibration_3mean,vibration_3std,vibration_median,vibration_domfreq,svm_mean,svm_std
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.2861817604250837,0.27,0.8585452812752511,0.0,0.02,0.09,0.2861817604250837
2025-09-10 21:42:29,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.30000000000000004,0.30000000000000004,0.9000000000000001,0.0,0.02,0.1,0.30000000000000004
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.3,0.30000000000000004,0.8999999999999999,0.0,0.02,0.1,0.3
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.3,0.30000000000000004,0.8999999999999999,0.0,0.02,0.1,0.3
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.30000000000000004,0.30000000000000004,0.9000000000000001,0.0,0.02,0.1,0.30000000000000004
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.3,0.30000000000000004,0.8999999999999999,0.0,0.02,0.1,0.3
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.3,0.30000000000000004,0.8999999999999999,0.0,0.02,0.1,0.3
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.3,0.30000000000000004,0.8999999999999999,0.0,0.02,0.1,0.3
2025-09-10 21:42:29,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.3,0.30000000000000004,0.8999999999999999,0.0,0.02,0.1,0.3
2025-09-10 21:42:30,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.31288975694324034,0.33,0.9386692708297211,0.0,0.11,0.11,0.31288975694324034
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.31288975694324034,0.33,0.9386692708297211,0.0,0.11,0.11,0.31288975694324034
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.31288975694324034,0.33,0.9386692708297211,0.0,0.11,0.11,0.31288975694324034
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.31288975694324034,0.33,0.9386692708297211,0.0,0.11,0.11,0.31288975694324034
2025-09-10 21:42:30,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.32496153618543844,0.36,0.9748846085563153,0.0,0.46,0.12,0.32496153618543844
2025-09-10 21:42:30,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.3249615361854384,0.36,0.9748846085563152,0.0,0.46,0.12,0.3249615361854384
