timestamp,motion_raw,motion_state,vibration_raw,vibration_state,status
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:38,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:39,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:40,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:41,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:42,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:43,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:44,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:44,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:44,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:44,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:44,0,LOW,0,LOW,NORMAL
